Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
1217.TW,做多(Long),趨勢多頭,多方進場,0.65,0.65,0.3,0.0563,0.65,樣本數不足 (0/10)，熱身中,KEEP
6909.TW,做多(Long),趨勢多頭,多方進場,0.65,0.65,0.3,0.0563,0.65,樣本數不足 (0/10)，熱身中,KEEP
2434.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2206.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2337.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
6269.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2102.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2850.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
9919.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
1527.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
1463.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
7780.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
7822.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2497.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
1216.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
6645.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
3189.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2886.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2002.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
6213.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
8438.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
6838.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
1449.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
3167.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2031.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2912.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2027.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
2481.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
1324.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
3673.TW,做多(Long),趨勢多頭,多方進場,0.62,0.62,0.24,0.045,0.62,樣本數不足 (0/10)，熱身中,KEEP
9103.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
4104.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
4956.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
6658.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
1321.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
2461.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
9924.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
1905.TW,做多(Long),趨勢多頭,多方進場,0.59,0.59,0.18,0.0337,0.59,樣本數不足 (0/10)，熱身中,KEEP
