ticker,event_date,event_type
1101,2025-09-30,earnings
1101,2025-12-31,earnings
1101,2026-02-15,revenue
1102,2025-09-30,earnings
1102,2025-12-31,earnings
1102,2026-02-15,revenue
1103,2025-09-30,earnings
1103,2025-12-31,earnings
1103,2026-02-15,revenue
1104,2025-09-30,earnings
1104,2025-12-31,earnings
1104,2026-02-15,revenue
1108,2025-09-30,earnings
1108,2025-12-31,earnings
1108,2026-02-15,revenue
1109,2025-09-30,earnings
1109,2025-12-31,earnings
1109,2026-02-15,revenue
1110,2025-09-30,earnings
1110,2025-12-31,earnings
1110,2026-02-15,revenue
1201,2025-09-30,earnings
1201,2025-12-31,earnings
1201,2026-02-15,revenue
1203,2025-09-30,earnings
1203,2025-12-31,earnings
1203,2026-02-15,revenue
1210,2025-09-30,earnings
1210,2025-12-31,earnings
1210,2026-02-15,revenue
1213,2025-09-30,earnings
1213,2025-12-31,earnings
1213,2026-02-15,revenue
1215,2025-09-30,earnings
1215,2025-12-31,earnings
1215,2026-02-15,revenue
1216,2025-06-30,earnings
1216,2025-12-31,earnings
1216,2026-02-15,revenue
1217,2025-09-30,earnings
1217,2025-12-31,earnings
1217,2026-02-15,revenue
1218,2025-06-30,earnings
1218,2025-09-30,earnings
1218,2026-02-15,revenue
1219,2025-09-30,earnings
1219,2025-12-31,earnings
1219,2026-02-15,revenue
1220,2025-09-30,earnings
1220,2025-12-31,earnings
1220,2026-02-15,revenue
1225,2025-09-30,earnings
1225,2025-12-31,earnings
1225,2026-02-15,revenue
1227,2025-09-30,earnings
1227,2025-12-31,earnings
1227,2026-02-15,revenue
1229,2025-09-30,earnings
1229,2025-12-31,earnings
1229,2026-02-15,revenue
1231,2025-09-30,earnings
1231,2025-12-31,earnings
1231,2026-02-15,revenue
1232,2025-06-30,earnings
1232,2025-12-31,earnings
1232,2026-02-15,revenue
1233,2025-09-30,earnings
1233,2025-12-31,earnings
1233,2026-02-15,revenue
1234,2025-09-30,earnings
1234,2025-12-31,earnings
1234,2026-02-15,revenue
1235,2025-09-30,earnings
1235,2025-12-31,earnings
1235,2026-02-15,revenue
1236,2025-09-30,earnings
1236,2025-12-31,earnings
1236,2026-02-15,revenue
1256,2025-09-30,earnings
1256,2025-12-31,earnings
1256,2026-02-15,revenue
1301,2025-09-30,earnings
1301,2025-12-31,earnings
1301,2026-02-15,revenue
1303,2025-09-30,earnings
1303,2025-12-31,earnings
1303,2026-02-15,revenue
1304,2025-09-30,earnings
1304,2025-12-31,earnings
1304,2026-02-15,revenue
1305,2025-09-30,earnings
1305,2025-12-31,earnings
1305,2026-02-15,revenue
1307,2025-09-30,earnings
1307,2025-12-31,earnings
1307,2026-02-15,revenue
1308,2025-09-30,earnings
1308,2025-12-31,earnings
1308,2026-02-15,revenue
1309,2025-09-30,earnings
1309,2025-12-31,earnings
1309,2026-02-15,revenue
1310,2025-09-30,earnings
1310,2025-12-31,earnings
1310,2026-02-15,revenue
1312,2025-09-30,earnings
1312,2025-12-31,earnings
1312,2026-02-15,revenue
1313,2025-09-30,earnings
1313,2025-12-31,earnings
1313,2026-02-15,revenue
1314,2025-09-30,earnings
1314,2025-12-31,earnings
1314,2026-02-15,revenue
1315,2025-09-30,earnings
1315,2025-12-31,earnings
1315,2026-02-15,revenue
1316,2025-09-30,earnings
1316,2025-12-31,earnings
1316,2026-02-15,revenue
1319,2025-09-30,earnings
1319,2025-12-31,earnings
1319,2026-02-15,revenue
1321,2025-09-30,earnings
1321,2025-12-31,earnings
1321,2026-02-15,revenue
1323,2025-09-30,earnings
1323,2025-12-31,earnings
1323,2026-02-15,revenue
1324,2025-09-30,earnings
1324,2025-12-31,earnings
1324,2026-02-15,revenue
1325,2025-09-30,earnings
1325,2025-12-31,earnings
1325,2026-02-15,revenue
1326,2025-09-30,earnings
1326,2025-12-31,earnings
1326,2026-02-15,revenue
1337,2025-09-30,earnings
1337,2025-12-31,earnings
1337,2026-02-15,revenue
1338,2025-09-30,earnings
1338,2025-12-31,earnings
1338,2026-02-15,revenue
1339,2025-09-30,earnings
1339,2025-12-31,earnings
1339,2026-02-15,revenue
1340,2025-09-30,earnings
1340,2025-12-31,earnings
1340,2026-02-15,revenue
1341,2025-09-30,earnings
1341,2025-12-31,earnings
1341,2026-02-15,revenue
1342,2025-09-30,earnings
1342,2025-12-31,earnings
1342,2026-02-15,revenue
1402,2025-09-30,earnings
1402,2025-12-31,earnings
1402,2026-02-15,revenue
1409,2025-09-30,earnings
1409,2025-12-31,earnings
1409,2026-02-15,revenue
1410,2025-09-30,earnings
1410,2025-12-31,earnings
1410,2026-02-15,revenue
1413,2025-06-30,earnings
1413,2025-12-31,earnings
1413,2026-02-15,revenue
1414,2025-09-30,earnings
1414,2025-12-31,earnings
1414,2026-02-15,revenue
1416,2025-09-30,earnings
1416,2025-12-31,earnings
1416,2026-02-15,revenue
1417,2025-09-30,earnings
1417,2025-12-31,earnings
1417,2026-02-15,revenue
1418,2025-09-30,earnings
1418,2025-12-31,earnings
1418,2026-02-15,revenue
1419,2025-09-30,earnings
1419,2025-12-31,earnings
1419,2026-02-15,revenue
1423,2025-09-30,earnings
1423,2025-12-31,earnings
1423,2026-02-15,revenue
1432,2025-09-30,earnings
1432,2025-12-31,earnings
1432,2026-02-15,revenue
1434,2025-06-30,earnings
1434,2025-12-31,earnings
1434,2026-02-15,revenue
1435,2025-09-30,earnings
1435,2025-12-31,earnings
1435,2026-02-15,revenue
1436,2025-06-30,earnings
1436,2025-12-31,earnings
1436,2026-02-15,revenue
1437,2025-09-30,earnings
1437,2025-12-31,earnings
1437,2026-02-15,revenue
1438,2025-09-30,earnings
1438,2025-12-31,earnings
1439,2025-06-30,earnings
1439,2025-09-30,earnings
1439,2026-02-15,revenue
1440,2025-09-30,earnings
1440,2025-12-31,earnings
1440,2026-02-15,revenue
1441,2025-09-30,earnings
1441,2025-12-31,earnings
1441,2026-02-15,revenue
1442,2025-09-30,earnings
1442,2025-12-31,earnings
1442,2026-02-15,revenue
1443,2025-09-30,earnings
1443,2025-12-31,earnings
1443,2026-02-15,revenue
1444,2025-09-30,earnings
1444,2025-12-31,earnings
1444,2026-02-15,revenue
1445,2025-09-30,earnings
1445,2025-12-31,earnings
1445,2026-02-15,revenue
1446,2025-09-30,earnings
1446,2025-12-31,earnings
1446,2026-02-15,revenue
1447,2025-09-30,earnings
1447,2025-12-31,earnings
1447,2026-02-15,revenue
1449,2025-09-30,earnings
1449,2025-12-31,earnings
1449,2026-02-15,revenue
1451,2025-09-30,earnings
1451,2025-12-31,earnings
1451,2026-02-15,revenue
1452,2025-09-30,earnings
1452,2025-12-31,earnings
1452,2026-02-15,revenue
1453,2025-09-30,earnings
1453,2025-12-31,earnings
1453,2026-02-15,revenue
1454,2025-06-30,earnings
1454,2025-12-31,earnings
1454,2026-02-15,revenue
1455,2025-09-30,earnings
1455,2025-12-31,earnings
1455,2026-02-15,revenue
1456,2025-09-30,earnings
1456,2025-12-31,earnings
1456,2026-02-15,revenue
1457,2025-09-30,earnings
1457,2025-12-31,earnings
1457,2026-02-15,revenue
1459,2025-06-30,earnings
1459,2025-12-31,earnings
1459,2026-02-15,revenue
1460,2025-09-30,earnings
1460,2025-12-31,earnings
1460,2026-02-15,revenue
1463,2025-09-30,earnings
1463,2025-12-31,earnings
1463,2026-02-15,revenue
1464,2025-09-30,earnings
1464,2025-12-31,earnings
1464,2026-02-15,revenue
1465,2025-09-30,earnings
1465,2025-12-31,earnings
1465,2026-02-15,revenue
1466,2025-09-30,earnings
1466,2025-12-31,earnings
1466,2026-02-15,revenue
1467,2025-09-30,earnings
1467,2025-12-31,earnings
1467,2026-02-15,revenue
1468,2025-09-30,earnings
1468,2025-12-31,earnings
1468,2026-02-15,revenue
1470,2025-09-30,earnings
1470,2025-12-31,earnings
1470,2026-02-15,revenue
1471,2025-09-30,earnings
1471,2025-12-31,earnings
1471,2026-02-15,revenue
1472,2025-09-30,earnings
1472,2025-12-31,earnings
1472,2026-02-15,revenue
1473,2025-09-30,earnings
1473,2025-12-31,earnings
1473,2026-02-15,revenue
1474,2025-09-30,earnings
1474,2025-12-31,earnings
1474,2026-02-15,revenue
1475,2025-09-30,earnings
1475,2025-12-31,earnings
1475,2026-02-15,revenue
1476,2025-06-30,earnings
1476,2025-12-31,earnings
1476,2026-02-15,revenue
1477,2025-06-30,earnings
1477,2025-12-31,earnings
1477,2026-02-15,revenue
1503,2025-09-30,earnings
1503,2025-12-31,earnings
1503,2026-02-15,revenue
1504,2025-09-30,earnings
1504,2025-12-31,earnings
1504,2026-02-15,revenue
1506,2025-09-30,earnings
1506,2025-12-31,earnings
1506,2026-02-15,revenue
1512,2025-09-30,earnings
1512,2025-12-31,earnings
1512,2026-02-15,revenue
1513,2025-09-30,earnings
1513,2025-12-31,earnings
1513,2026-02-15,revenue
1514,2025-09-30,earnings
1514,2025-12-31,earnings
1514,2026-02-15,revenue
1515,2025-06-30,earnings
1515,2025-12-31,earnings
1515,2026-02-15,revenue
1516,2025-09-30,earnings
1516,2025-12-31,earnings
1516,2026-02-15,revenue
1517,2025-09-30,earnings
1517,2025-12-31,earnings
1517,2026-02-15,revenue
1519,2025-09-30,earnings
1519,2025-12-31,earnings
1519,2026-02-15,revenue
1521,2025-06-30,earnings
1521,2025-12-31,earnings
1521,2026-02-15,revenue
1522,2025-09-30,earnings
1522,2025-12-31,earnings
1522,2026-02-15,revenue
1524,2025-09-30,earnings
1524,2025-12-31,earnings
1524,2026-02-15,revenue
1525,2025-09-30,earnings
1525,2025-12-31,earnings
1525,2026-02-15,revenue
1526,2025-09-30,earnings
1526,2025-12-31,earnings
1526,2026-02-15,revenue
1527,2025-06-30,earnings
1527,2025-09-30,earnings
1527,2026-02-15,revenue
1528,2025-09-30,earnings
1528,2025-12-31,earnings
1528,2026-02-15,revenue
1529,2025-09-30,earnings
1529,2025-12-31,earnings
1529,2026-02-15,revenue
1530,2025-06-30,earnings
1530,2025-09-30,earnings
1530,2026-02-15,revenue
1531,2025-09-30,earnings
1531,2025-12-31,earnings
1531,2026-02-15,revenue
1532,2025-09-30,earnings
1532,2025-12-31,earnings
1532,2026-02-15,revenue
1533,2025-09-30,earnings
1533,2025-12-31,earnings
1533,2026-02-15,revenue
1535,2025-06-30,earnings
1535,2025-12-31,earnings
1535,2026-02-15,revenue
1536,2025-09-30,earnings
1536,2025-12-31,earnings
1536,2026-02-15,revenue
1537,2025-09-30,earnings
1537,2025-12-31,earnings
1537,2026-02-15,revenue
1538,2025-09-30,earnings
1538,2025-12-31,earnings
1538,2026-02-15,revenue
1539,2025-09-30,earnings
1539,2025-12-31,earnings
1539,2026-02-15,revenue
1540,2025-09-30,earnings
1540,2025-12-31,earnings
1540,2026-02-15,revenue
1541,2025-09-30,earnings
1541,2025-12-31,earnings
1541,2026-02-15,revenue
1558,2025-09-30,earnings
1558,2025-12-31,earnings
1558,2026-02-15,revenue
1560,2025-06-30,earnings
1560,2025-12-31,earnings
1560,2026-02-15,revenue
1563,2025-06-30,earnings
1563,2025-12-31,earnings
1563,2026-02-15,revenue
1568,2025-09-30,earnings
1568,2025-12-31,earnings
1568,2026-02-15,revenue
1582,2025-06-30,earnings
1582,2025-12-31,earnings
1582,2026-02-15,revenue
1583,2025-09-30,earnings
1583,2025-12-31,earnings
1583,2026-02-15,revenue
1587,2025-06-30,earnings
1587,2025-09-30,earnings
1587,2026-02-15,revenue
1589,2025-06-30,earnings
