Date,Close,High,Low,Open,Volume
2026-01-02,744.0,777.0,737.0,770.0,3866749
2026-01-05,737.0,752.0,736.0,746.0,1683893
2026-01-06,739.0,753.0,737.0,742.0,2549546
2026-01-07,755.0,755.0,732.0,744.0,2841636
2026-01-08,735.0,752.0,734.0,752.0,3283836
2026-01-09,786.0,791.0,731.0,737.0,7633567
2026-01-12,817.0,829.0,791.0,794.0,8158322
2026-01-13,812.0,852.0,810.0,839.0,7129819
2026-01-14,893.0,893.0,830.0,830.0,9834233
2026-01-15,907.0,944.0,894.0,935.0,14644456
2026-01-16,965.0,992.0,921.0,942.0,14525751
2026-01-19,963.0,995.0,942.0,963.0,8530511
2026-01-20,1005.0,1005.0,956.0,960.0,8662003
2026-01-21,1025.0,1050.0,982.0,982.0,7105806
2026-01-22,1080.0,1095.0,1000.0,1045.0,8145579
2026-01-23,1030.0,1100.0,1025.0,1075.0,4763680
2026-01-26,1020.0,1050.0,1000.0,1030.0,4163828
2026-01-27,1015.0,1030.0,1000.0,1025.0,2368888
2026-01-28,1040.0,1050.0,1010.0,1020.0,3130976
2026-01-29,1015.0,1055.0,989.0,1050.0,4461801
2026-01-30,970.0,1020.0,970.0,1010.0,3447168
2026-02-02,942.0,961.0,931.0,950.0,3491934
2026-02-03,947.0,978.0,926.0,961.0,5726613
2026-02-04,991.0,992.0,939.0,939.0,3718988
2026-02-05,955.0,1010.0,952.0,982.0,3862314
2026-02-06,910.0,957.0,908.0,949.0,4567291
2026-02-09,945.0,964.0,934.0,948.0,2211256
2026-02-10,966.0,985.0,943.0,966.0,3745183
2026-02-11,967.0,975.0,937.0,950.0,3915493
2026-02-23,966.0,1005.0,963.0,996.0,4017017
2026-02-24,956.0,980.0,951.0,975.0,3147424
2026-02-25,1050.0,1050.0,962.0,965.0,6707618
2026-02-26,1070.0,1115.0,997.0,1080.0,10398094
2026-03-02,1030.0,1070.0,1020.0,1035.0,3525082
2026-03-03,985.0,1050.0,984.0,1035.0,3855795
2026-03-04,908.0,975.0,904.0,960.0,3547724
2026-03-05,951.0,975.0,924.0,959.0,2943312
2026-03-06,926.0,956.0,910.0,940.0,5237801
2026-03-09,871.0,883.0,846.0,850.0,4301733
2026-03-10,912.0,937.0,902.0,910.0,3122101
2026-03-11,932.0,948.0,928.0,937.0,2982986
2026-03-12,922.0,952.0,920.0,926.0,2660607
2026-03-13,921.0,929.0,902.0,902.0,1961086
2026-03-16,909.0,928.0,906.0,928.0,1853331
2026-03-17,921.0,938.0,920.0,921.0,1830916
2026-03-18,929.0,948.0,922.0,934.0,2353410
2026-03-19,922.0,928.0,907.0,918.0,1592418
2026-03-20,916.0,937.0,906.0,927.0,2068893
2026-03-23,890.0,939.0,883.0,894.0,3890111
2026-03-24,881.0,922.0,875.0,913.0,2300414
2026-03-25,926.0,931.0,895.0,902.0,2797615
2026-03-26,894.0,935.0,893.0,932.0,2503193
2026-03-27,865.0,888.0,847.0,888.0,3570694
2026-03-30,834.0,850.0,822.0,838.0,2333787
2026-03-31,787.0,836.0,783.0,827.0,4991371
2026-04-01,812.0,825.0,801.0,824.0,3328389
2026-04-02,797.0,832.0,797.0,824.0,2098462
