Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
1101.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1101.TW_ohlcv.csv
1102.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1102.TW_ohlcv.csv
1103.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1103.TW_ohlcv.csv
1104.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1104.TW_ohlcv.csv
1108.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1108.TW_ohlcv.csv
1109.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1109.TW_ohlcv.csv
1110.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1110.TW_ohlcv.csv
1201.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1201.TW_ohlcv.csv
1203.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1203.TW_ohlcv.csv
1210.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1210.TW_ohlcv.csv
1215.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1215.TW_ohlcv.csv
1216.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1216.TW_ohlcv.csv
1217.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1217.TW_ohlcv.csv
1218.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1218.TW_ohlcv.csv
1219.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1219.TW_ohlcv.csv
1220.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1220.TW_ohlcv.csv
1225.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1225.TW_ohlcv.csv
1227.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1227.TW_ohlcv.csv
1229.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1229.TW_ohlcv.csv
1231.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1231.TW_ohlcv.csv
1232.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1232.TW_ohlcv.csv
1233.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1233.TW_ohlcv.csv
1234.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1234.TW_ohlcv.csv
1235.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1235.TW_ohlcv.csv
1236.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1236.TW_ohlcv.csv
1256.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1256.TW_ohlcv.csv
1301.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1301.TW_ohlcv.csv
1303.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1303.TW_ohlcv.csv
1304.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1304.TW_ohlcv.csv
1305.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1305.TW_ohlcv.csv
1307.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1307.TW_ohlcv.csv
1308.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1308.TW_ohlcv.csv
1309.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1309.TW_ohlcv.csv
1310.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1310.TW_ohlcv.csv
1312.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1312.TW_ohlcv.csv
1313.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1313.TW_ohlcv.csv
1314.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1314.TW_ohlcv.csv
1315.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1315.TW_ohlcv.csv
1316.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1316.TW_ohlcv.csv
1319.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1319.TW_ohlcv.csv
