Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1102.TW,2025-12-31,14.02,9.11,,0.96,10.87,4040055000.0,624.0,37.22,65.35
1102.TW,2025-09-30,16.69,12.76,1.13,1.93,21.19,7425245000.0,624.0,38.14,52.74
1103.TW,2025-12-31,16.23,-5.49,,0.41,10.04,-48111000.0,402.0,42.6,-60.39
1103.TW,2025-09-30,15.57,-5.27,1.04,3.65,95.01,152214000.0,402.0,43.44,-5.29
1104.TW,2025-12-31,29.12,19.06,,2.08,24.31,227153000.0,579.0,19.64,66.84
1104.TW,2025-09-30,20.6,13.1,0.82,2.34,29.78,712635000.0,579.0,18.98,39.46
1108.TW,2025-12-31,13.76,7.25,,1.12,6.31,225878000.0,507.0,43.36,113.03
1108.TW,2025-09-30,20.39,14.25,0.3,2.13,11.51,71401000.0,507.0,44.4,99.71
1109.TW,2025-12-31,14.62,8.27,,0.77,7.09,402960000.0,590.0,10.13,85.22
1109.TW,2025-09-30,16.93,10.69,0.31,1.05,9.87,48137000.0,590.0,9.47,78.82
1110.TW,2025-12-31,15.28,7.32,,0.43,5.86,-26957000.0,208.0,26.16,118.38
1110.TW,2025-09-30,16.97,9.09,0.21,1.26,18.6,141170000.0,208.0,24.37,41.57
1201.TW,2025-12-31,26.76,-0.09,,-0.17,-0.25,242896000.0,373.0,56.46,22.35
1201.TW,2025-09-30,26.53,1.89,0.16,1.06,1.33,286996000.0,373.0,57.93,74.5
1203.TW,2025-12-31,33.56,14.15,,1.72,9.68,229211000.0,305.0,29.2,83.27
1203.TW,2025-09-30,33.3,15.95,0.64,2.13,10.86,376172000.0,305.0,32.22,80.35
1210.TW,2025-12-31,15.43,4.84,,3.91,5.3,1530386000.0,517.0,53.42,63.81
1210.TW,2025-09-30,14.85,4.41,0.93,2.35,3.16,2210689000.0,517.0,52.87,84.6
1213.TW,2025-12-31,-3.68,-19.69,,-1.77,-16.34,41449000.0,380.0,16.63,102.58
1213.TW,2025-09-30,-0.42,-11.59,-0.2,-1.68,-12.14,14679000.0,380.0,15.98,99.57
1215.TW,2025-12-31,20.24,12.05,,5.61,9.55,700157000.0,504.0,59.56,101.64
1215.TW,2025-09-30,22.22,14.22,2.98,7.3,12.4,965702000.0,504.0,60.9,90.55
1216.TW,2025-12-31,31.73,2.59,,1.41,1.88,16979555000.0,414.0,71.43,71.66
1216.TW,2025-06-30,33.8,6.06,0.97,3.01,3.25,22303322000.0,414.0,74.11,85.99
1217.TW,2025-12-31,27.73,-3.39,,0.63,5.4,335037000.0,243.0,44.93,-66.35
1217.TW,2025-09-30,27.48,2.76,0.36,2.15,11.1,139023000.0,243.0,46.98,23.53
1218.TW,2025-09-30,18.81,4.11,0.41,1.56,7.07,-44768000.0,694.0,12.56,51.43
1218.TW,2025-06-30,18.1,5.23,0.29,1.11,5.75,-66191000.0,694.0,16.23,93.85
1219.TW,2025-12-31,10.03,1.5,,1.51,1.84,202253000.0,360.0,52.34,100.41
1219.TW,2025-09-30,9.18,0.6,0.19,1.42,1.86,164603000.0,360.0,52.46,61.04
1220.TW,2025-12-31,8.16,-0.69,,-0.35,-0.97,-101383000.0,560.0,27.44,-5479.49
1220.TW,2025-09-30,16.11,6.8,0.24,1.66,5.03,-103214000.0,560.0,26.67,92.09
1225.TW,2025-12-31,10.16,5.38,,2.75,3.98,62864000.0,44.0,45.9,92.48
1225.TW,2025-09-30,9.92,4.59,0.36,2.04,3.09,-46409000.0,44.0,47.13,95.1
1227.TW,2025-12-31,23.19,4.11,,1.9,4.76,1120212000.0,455.0,31.89,66.98
1227.TW,2025-09-30,23.06,4.45,0.41,2.07,5.15,1451243000.0,455.0,33.79,65.78
1229.TW,2025-12-31,21.12,11.17,,1.29,26.54,1581286000.0,289.0,18.49,35.63
1229.TW,2025-09-30,21.36,9.98,0.71,1.61,39.47,3680307000.0,289.0,19.61,22.12
1231.TW,2025-12-31,22.15,12.29,,6.47,13.9,582964000.0,172.0,51.45,74.72
1231.TW,2025-09-30,19.97,7.7,1.05,4.64,9.31,183095000.0,172.0,53.86,69.22
1232.TW,2025-12-31,14.23,8.62,,6.32,6.82,256378000.0,470.0,38.63,97.55
1232.TW,2025-06-30,13.8,8.16,2.0,5.95,6.27,147456000.0,470.0,45.48,97.93
1233.TW,2025-12-31,60.25,3.04,,1.33,3.22,79111000.0,335.0,38.32,64.07
1233.TW,2025-09-30,59.96,1.96,0.14,0.95,2.41,47607000.0,335.0,38.95,64.88
1234.TW,2025-12-31,29.58,5.42,,0.92,7.84,260336000.0,461.0,21.22,54.65
1234.TW,2025-09-30,32.88,7.39,0.61,1.31,9.39,-154187000.0,461.0,22.6,62.22
1235.TW,2025-12-31,27.19,-2.83,,-2.37,-133.51,-48996000.0,133.0,43.16,2.32
1235.TW,2025-09-30,27.98,1.4,0.05,0.23,13.79,-5284000.0,133.0,44.56,26.24
1236.TW,2025-12-31,24.77,-4.59,,-0.68,-3.96,26613000.0,231.0,28.63,115.09
1236.TW,2025-09-30,28.21,3.75,0.29,1.02,4.84,87892000.0,231.0,33.48,78.93
1256.TW,2025-12-31,24.61,7.42,,1.69,7.62,92897000.0,318.0,19.23,77.86
1256.TW,2025-09-30,29.46,16.7,4.94,4.91,11.68,68023000.0,318.0,25.36,98.77
1301.TW,2025-12-31,2.38,-5.63,,-0.79,-6.99,261027000.0,109.0,34.85,80.25
1301.TW,2025-09-30,1.38,-6.26,-0.09,-0.21,-1.44,7393370000.0,109.0,40.36,457.67
1303.TW,2025-12-31,9.25,2.02,,1.32,7.64,-5811602000.0,91.0,39.11,22.3
1303.TW,2025-09-30,8.29,1.61,0.41,0.94,5.07,7823666000.0,91.0,41.42,25.93
1304.TW,2025-12-31,5.34,-4.3,,-2.28,-8.14,851698000.0,112.0,43.95,21.32
1304.TW,2025-09-30,1.65,-8.06,-0.45,-1.3,-4.56,-356873000.0,112.0,42.82,68.69
1305.TW,2025-12-31,0.65,-10.28,,-1.72,-7.72,541514000.0,84.0,52.73,120.23
1305.TW,2025-09-30,-2.83,-13.08,-0.18,-1.24,-4.56,-218049000.0,84.0,51.26,106.46
1307.TW,2025-12-31,31.96,13.75,,3.31,13.01,609135000.0,857.0,42.15,80.73
1307.TW,2025-09-30,30.84,13.75,1.05,4.42,14.65,380610000.0,857.0,44.42,73.45
1308.TW,2025-12-31,6.52,2.26,,-3.5,-25.56,-50022000.0,134.0,12.56,-9.03
1308.TW,2025-09-30,0.65,-3.68,-0.26,-1.46,-10.43,255424000.0,134.0,14.82,36.49
1309.TW,2025-12-31,3.28,-4.03,,-0.98,-1.88,219541000.0,77.0,32.85,173.33
1309.TW,2025-09-30,3.72,-3.93,-0.18,-1.3,-2.16,197480000.0,77.0,35.22,150.09
1310.TW,2025-12-31,-7.37,-10.26,,-3.03,-13.31,-48015000.0,,24.43,77.28
1310.TW,2025-09-30,-5.28,-7.36,-0.24,-1.8,-5.61,138447000.0,,26.88,130.33
1312.TW,2025-12-31,-5.49,-15.47,,-3.79,-18.03,-828151000.0,,51.62,76.05
1312.TW,2025-09-30,-13.92,-25.55,-1.33,-4.61,-30.47,1114534000.0,,49.76,77.71
1313.TW,2025-12-31,1.59,-3.5,,-2.75,-5.53,2099717000.0,119.0,45.0,94.41
1313.TW,2025-09-30,0.96,-3.45,-0.25,-1.12,-2.27,-528830000.0,119.0,46.18,238.88
1314.TW,2025-12-31,-21.79,-33.61,,-0.17,-3.77,-1399577000.0,,40.99,-811.82
1314.TW,2025-09-30,-12.26,-21.11,-0.24,-1.19,-20.33,-67415000.0,,41.54,107.77
1315.TW,2025-12-31,19.55,4.56,,0.53,10.03,-50916000.0,714.0,6.05,27.77
1315.TW,2025-09-30,11.33,-4.7,1.43,1.45,23.07,328166000.0,714.0,6.89,-22.33
1316.TW,2025-12-31,30.65,0.38,,0.46,3.88,-14568000.0,,45.72,1.86
1316.TW,2025-09-30,47.48,13.37,-0.13,-0.37,-3.96,118038000.0,,45.03,71.63
1319.TW,2025-12-31,33.68,18.11,,4.27,18.81,790365000.0,662.0,25.67,77.06
1319.TW,2025-09-30,28.0,11.38,1.11,2.41,12.17,591324000.0,662.0,24.66,73.83
1321.TW,2025-12-31,6.96,-7.58,,-1.99,-13.28,26958000.0,113.0,49.99,87.05
1321.TW,2025-09-30,3.96,-6.2,-0.13,-0.51,-3.68,-37425000.0,113.0,49.16,1046.34
1323.TW,2025-12-31,15.09,2.14,,0.71,3.74,29948000.0,386.0,45.39,52.58
1323.TW,2025-09-30,11.9,-2.06,0.05,0.2,1.01,37395000.0,386.0,46.51,-239.22
1324.TW,2025-12-31,11.27,-7.91,,-1.28,-6.27,8991000.0,172.0,17.53,137.34
1324.TW,2025-09-30,12.44,-7.76,-0.13,-1.11,-5.66,-5543000.0,172.0,19.79,148.96
1325.TW,2025-12-31,-27.77,-41.36,,-0.17,-7.18,21307000.0,108.0,3.45,444.68
1325.TW,2025-09-30,-28.91,-46.64,-0.05,-0.13,-5.68,15841000.0,108.0,3.32,545.85
1326.TW,2025-12-31,4.05,-1.33,,-0.08,-0.45,7979980000.0,111.0,29.29,-541.78
1326.TW,2025-09-30,4.36,-0.31,0.3,0.57,2.56,7105320000.0,111.0,35.23,-9.24
1337.TW,2025-12-31,-19.71,-65.5,,-3.67,-83.34,-60759000.0,,42.09,78.6
1337.TW,2025-09-30,-29.87,-69.84,-0.44,-3.23,-76.56,-60800000.0,,40.3,91.23
1338.TW,2025-12-31,22.76,-2.77,,-0.31,-1.41,510881000.0,476.0,54.51,453.98
1338.TW,2025-09-30,26.28,2.53,0.14,0.2,0.85,221226000.0,476.0,41.98,104.71
1339.TW,2025-12-31,33.66,12.79,,2.33,25.72,293493000.0,743.0,17.96,41.41
1339.TW,2025-09-30,26.98,8.01,0.91,1.69,17.64,164618000.0,743.0,22.39,34.19
1340.TW,2025-12-31,-118.96,-391.42,,-9.71,-2622.5,-34417000.0,,11.35,15.05
1340.TW,2025-09-30,-118.84,-426.54,-0.26,-1.47,-434.66,-8486000.0,,8.4,103.25
1341.TW,2025-12-31,23.43,13.64,,5.67,10.63,160445000.0,895.0,42.34,100.46
1341.TW,2025-09-30,21.66,11.75,0.79,3.55,6.91,30929000.0,895.0,41.64,131.28
1342.TW,2025-12-31,26.13,18.39,,5.27,16.59,78357000.0,718.0,33.08,86.64
1342.TW,2025-09-30,26.89,16.7,1.34,4.47,17.26,77895000.0,718.0,31.58,77.4
1402.TW,2025-12-31,19.15,6.78,,0.76,3.5,11005917000.0,600.0,53.04,85.37
1402.TW,2025-09-30,19.27,6.37,0.42,0.69,3.45,13928799000.0,600.0,54.05,70.36
1409.TW,2025-12-31,26.17,11.62,,0.68,4.17,-1970011000.0,390.0,76.56,130.36
1409.TW,2025-09-30,25.82,12.86,0.79,2.49,13.2,-3113404000.0,390.0,76.71,79.73
1410.TW,2025-12-31,31.89,4.46,,0.97,22.82,33060000.0,164.0,16.74,18.39
1410.TW,2025-09-30,15.66,-23.22,0.43,2.49,67.26,52286000.0,164.0,16.36,-19.31
1413.TW,2025-12-31,2.52,0.23,,0.32,0.78,-205983000.0,,58.46,12.64
1413.TW,2025-06-30,9.47,7.32,0.42,4.98,9.12,191666000.0,,53.84,71.51
1414.TW,2025-12-31,15.75,-3.55,,0.56,14.88,-20956000.0,120.0,30.58,-21.14
1414.TW,2025-09-30,10.51,-7.9,0.11,0.7,21.97,41480000.0,120.0,25.18,-33.92
1416.TW,2025-12-31,43.12,8.8,,0.7,27.88,60618000.0,491.0,26.97,26.07
1416.TW,2025-09-30,33.69,-4.49,0.39,1.71,84.45,73378000.0,491.0,26.79,-5.74
1417.TW,2025-12-31,55.07,16.97,,3.56,50.12,82063000.0,,16.67,28.77
1417.TW,2025-09-30,49.27,-7.81,0.17,1.35,32.52,13014000.0,,17.0,-24.02
