Ticker,HasRevenue,HasChip,HasFundamentals
1101.TW,True,True,True
1102.TW,True,True,True
1103.TW,True,True,True
1104.TW,True,True,True
1108.TW,True,True,True
1109.TW,True,True,True
1110.TW,True,True,True
1201.TW,True,True,True
1203.TW,True,True,True
1210.TW,True,True,True
1215.TW,True,True,True
1216.TW,True,True,True
1217.TW,True,True,True
1218.TW,True,True,True
1219.TW,True,True,True
1220.TW,True,True,True
1225.TW,True,True,True
1227.TW,True,True,True
1229.TW,True,True,True
1231.TW,True,True,True
1232.TW,True,True,True
1233.TW,True,True,True
1234.TW,True,True,True
1235.TW,True,True,True
1236.TW,True,True,True
1256.TW,True,True,True
1301.TW,True,True,True
1303.TW,True,True,True
1304.TW,True,True,True
1305.TW,True,True,True
1307.TW,True,True,True
1308.TW,True,True,True
1309.TW,True,True,True
1310.TW,True,True,True
1312.TW,True,True,True
1313.TW,True,True,True
1314.TW,True,True,True
1315.TW,True,True,True
1316.TW,True,True,True
1319.TW,True,True,True
1321.TW,True,True,True
1323.TW,True,True,True
1324.TW,True,True,True
1325.TW,True,True,True
1326.TW,True,True,True
1337.TW,True,True,True
1338.TW,True,True,True
1339.TW,True,True,True
1340.TW,True,True,True
1341.TW,True,True,True
1342.TW,True,True,True
1402.TW,True,True,True
1409.TW,True,True,True
1410.TW,True,True,True
1413.TW,True,True,True
1414.TW,True,True,True
1416.TW,True,True,True
1417.TW,True,True,True
1418.TW,True,True,True
1419.TW,True,True,True
1423.TW,True,True,True
1432.TW,True,True,True
1434.TW,True,True,True
1435.TW,True,True,True
1436.TW,True,True,True
1437.TW,True,True,True
1439.TW,True,True,True
1440.TW,True,True,True
1441.TW,True,True,True
1442.TW,True,True,True
1443.TW,True,True,True
1444.TW,True,True,True
1445.TW,True,True,True
1446.TW,True,True,True
1447.TW,True,True,True
1449.TW,True,True,True
1451.TW,True,True,True
1452.TW,True,True,True
1453.TW,True,True,True
1454.TW,True,True,True
1455.TW,True,True,True
1456.TW,True,True,True
1457.TW,True,True,True
1459.TW,True,True,True
1460.TW,True,True,True
1463.TW,True,True,True
1464.TW,True,True,True
1465.TW,True,True,True
1466.TW,True,True,True
1467.TW,True,True,True
1468.TW,True,True,True
1470.TW,True,True,True
1471.TW,True,True,True
1472.TW,True,True,True
1473.TW,True,True,True
1474.TW,True,True,True
1475.TW,True,True,True
1476.TW,True,True,True
1477.TW,True,True,True
1503.TW,True,True,True
1504.TW,True,True,True
1506.TW,True,True,True
1512.TW,True,True,True
1513.TW,True,True,True
1514.TW,True,True,True
1515.TW,True,True,True
1516.TW,True,True,True
1517.TW,True,True,True
1519.TW,True,True,True
1521.TW,True,True,True
1522.TW,True,True,True
1524.TW,True,True,True
1525.TW,True,True,True
1526.TW,True,True,True
1527.TW,True,True,True
1528.TW,True,True,True
1529.TW,True,True,True
1530.TW,True,True,True
1531.TW,True,True,True
1532.TW,True,True,True
1533.TW,True,True,True
1535.TW,True,True,True
1536.TW,True,True,True
1537.TW,True,True,True
1538.TW,True,True,True
1539.TW,True,True,True
1540.TW,True,True,True
1541.TW,True,True,True
1558.TW,True,True,True
1560.TW,True,True,True
1563.TW,True,True,True
1568.TW,True,True,True
1582.TW,True,True,True
1583.TW,True,True,True
1587.TW,True,True,True
1589.TW,True,True,True
1590.TW,True,True,True
1597.TW,True,True,True
1598.TW,True,True,True
1603.TW,True,True,True
1604.TW,True,True,True
1605.TW,True,True,True
1608.TW,True,True,True
1609.TW,True,True,True
1611.TW,True,True,True
1612.TW,True,True,True
1614.TW,True,True,True
1615.TW,True,True,True
1616.TW,True,True,True
1617.TW,True,True,True
1618.TW,True,True,True
1623.TW,True,True,True
1626.TW,True,True,True
1702.TW,True,True,True
1707.TW,True,True,True
1708.TW,True,True,True
1709.TW,True,True,True
1710.TW,True,True,True
1711.TW,True,True,True
1712.TW,True,True,True
1713.TW,True,True,True
1714.TW,True,True,True
1717.TW,True,True,True
1718.TW,True,True,True
1720.TW,True,True,True
1721.TW,True,True,True
1722.TW,True,True,True
1723.TW,True,True,True
1725.TW,True,True,True
1726.TW,True,True,True
1727.TW,True,True,True
1730.TW,True,True,True
1731.TW,True,True,True
1732.TW,True,True,True
1733.TW,True,True,True
1734.TW,True,True,True
1735.TW,True,True,True
1736.TW,True,True,True
1737.TW,True,True,True
1752.TW,True,True,True
1760.TW,True,True,True
1762.TW,True,True,True
1773.TW,True,True,True
1776.TW,True,True,True
1783.TW,True,True,True
1786.TW,True,True,True
1789.TW,True,True,True
1795.TW,True,True,True
1802.TW,True,True,True
1805.TW,True,True,True
1806.TW,True,True,True
1808.TW,True,True,True
1809.TW,True,True,True
1810.TW,True,True,True
1817.TW,True,True,True
1903.TW,True,True,True
1904.TW,True,True,True
1905.TW,True,True,True
1906.TW,True,True,True
1907.TW,True,True,True
1909.TW,True,True,True
2002.TW,True,True,True
2006.TW,True,True,True
2007.TW,True,True,True
2008.TW,True,True,True
2009.TW,True,True,True
2010.TW,True,True,True
2012.TW,True,True,True
2013.TW,True,True,True
2014.TW,True,True,True
2015.TW,True,True,True
2017.TW,True,True,True
2020.TW,True,True,True
2022.TW,True,True,True
2023.TW,True,True,True
2024.TW,True,True,True
2025.TW,True,True,True
2027.TW,True,True,True
2028.TW,True,True,True
2029.TW,True,True,True
2030.TW,True,True,True
2031.TW,True,True,True
2032.TW,True,True,True
2033.TW,True,True,True
2034.TW,True,True,True
2038.TW,True,True,True
2049.TW,True,True,True
2059.TW,True,True,True
2062.TW,True,True,True
2069.TW,True,True,True
2101.TW,True,True,True
2102.TW,True,True,True
2103.TW,True,True,True
2104.TW,True,True,True
2105.TW,True,True,True
2106.TW,True,True,True
2107.TW,True,True,True
2108.TW,True,True,True
2109.TW,True,True,True
2114.TW,True,True,True
2115.TW,True,True,True
2201.TW,True,True,True
2204.TW,True,True,True
2206.TW,True,True,True
2207.TW,True,True,True
2208.TW,True,True,True
2211.TW,True,True,True
2227.TW,True,True,True
2228.TW,True,True,True
2231.TW,True,True,True
2233.TW,True,True,True
2236.TW,True,True,True
2239.TW,True,True,True
2241.TW,True,True,True
2243.TW,True,True,True
2247.TW,True,True,True
2248.TW,True,True,True
2250.TW,True,True,True
2254.TW,True,True,True
2258.TW,True,True,True
2301.TW,True,True,True
2302.TW,True,True,True
2303.TW,True,True,True
2305.TW,True,True,True
2308.TW,True,True,True
2312.TW,True,True,True
2313.TW,True,True,True
2314.TW,True,True,True
2316.TW,True,True,True
2317.TW,True,True,True
2323.TW,True,True,True
2324.TW,True,True,True
2327.TW,True,True,True
2328.TW,True,True,True
2329.TW,True,True,True
2330.TW,True,True,True
2331.TW,True,True,True
2332.TW,True,True,True
2337.TW,True,True,True
2338.TW,True,True,True
2340.TW,True,True,True
2342.TW,True,True,True
2344.TW,True,True,True
2345.TW,True,True,True
2347.TW,True,True,True
2348.TW,True,True,True
2349.TW,True,True,True
2351.TW,True,True,True
2352.TW,True,True,True
2353.TW,True,True,True
2354.TW,True,True,True
2355.TW,True,True,True
2356.TW,True,True,True
2357.TW,True,True,True
2359.TW,True,True,True
2360.TW,True,True,True
2362.TW,True,True,True
2363.TW,True,True,True
2364.TW,True,True,True
2365.TW,True,True,True
2367.TW,True,True,True
2368.TW,True,True,True
2369.TW,True,True,True
2371.TW,True,True,True
2373.TW,True,True,True
2374.TW,True,True,True
2375.TW,True,True,True
2376.TW,True,True,True
2377.TW,True,True,True
2379.TW,True,True,True
2380.TW,True,True,True
2382.TW,True,True,True
2383.TW,True,True,True
2385.TW,True,True,True
2387.TW,True,True,True
2388.TW,True,True,True
2390.TW,True,True,True
2392.TW,True,True,True
2393.TW,True,True,True
2395.TW,True,True,True
2397.TW,True,True,True
2399.TW,True,True,True
2401.TW,True,True,True
2402.TW,True,True,True
2404.TW,True,True,True
2405.TW,True,True,True
2406.TW,True,True,True
2408.TW,True,True,True
2409.TW,True,True,True
2412.TW,True,True,True
2413.TW,True,True,True
2414.TW,True,True,True
2415.TW,True,True,True
2417.TW,True,True,True
2419.TW,True,True,True
2420.TW,True,True,True
2421.TW,True,True,True
2423.TW,True,True,True
2424.TW,True,True,True
2425.TW,True,True,True
2426.TW,True,True,True
2427.TW,True,True,True
2428.TW,True,True,True
2429.TW,True,True,True
2430.TW,True,True,True
2431.TW,True,True,True
2432.TW,True,True,True
2433.TW,True,True,True
2434.TW,True,True,True
2436.TW,True,True,True
2438.TW,True,True,True
2439.TW,True,True,True
2440.TW,True,True,True
2441.TW,True,True,True
2442.TW,True,True,True
