Ticker SYMBOL,公司名稱,產業類別,資料年月日,單月營收年增率(%)
1101.TW,臺灣水泥股份有限公司,1,2026-02-01,-5.81
1102.TW,亞洲水泥股份有限公司,1,2026-02-01,-16.52
1103.TW,嘉新水泥股份有限公司,1,2026-02-01,-13.45
1104.TW,環球水泥股份有限公司,1,2026-02-01,-14.59
1108.TW,幸福水泥股份有限公司,1,2026-02-01,-27.24
1109.TW,信大水泥股份有限公司,1,2026-02-01,-29.79
1110.TW,東南水泥股份有限公司,1,2026-02-01,-30.32
1201.TW,味全食品工業股份有限公司,2,2026-02-01,7.25
1203.TW,味王股份有限公司,2,2026-02-01,-17.94
1210.TW,大成長城企業股份有限公司,2,2026-02-01,-5.68
1213.TW,大西洋飲料股份有限公司,2,2026-02-01,20.55
1215.TW,台灣卜蜂企業股份有限公司,2,2026-02-01,-0.03
1216.TW,統一企業股份有限公司,2,2026-02-01,8.32
1217.TW,愛之味股份有限公司,2,2026-02-01,1.83
1218.TW,泰山企業股份有限公司,2,2026-02-01,6.49
1219.TW,福壽實業股份有限公司,2,2026-02-01,-8.84
1220.TW,台榮產業股份有限公司,2,2026-02-01,-32.3
1225.TW,福懋油脂股份有限公司,2,2026-02-01,-16.79
1227.TW,佳格食品股份有限公司,2,2026-02-01,16.64
1229.TW,聯華實業控股股份有限公司,2,2026-02-01,-12.87
1231.TW,聯華食品工業股份有限公司,2,2026-02-01,32.2
1232.TW,大統益股份有限公司,2,2026-02-01,1.69
1233.TW,天仁茶業股份有限公司,2,2026-02-01,23.66
1234.TW,黑松股份有限公司,2,2026-02-01,3.6
1235.TW,興泰實業股份有限公司,2,2026-02-01,807.67
1236.TW,宏亞食品股份有限公司,2,2026-02-01,57.78
1256.TW,鮮活控股股份有限公司,2,2026-02-01,87.61
1301.TW,台灣塑膠工業股份有限公司,3,2026-02-01,-33.42
1303.TW,南亞塑膠工業股份有限公司,3,2026-02-01,-15.96
1304.TW,台灣聚合化學品股份有限公司,3,2026-02-01,-31.73
1305.TW,華夏海灣塑膠股份有限公司,3,2026-02-01,-7.66
1307.TW,三芳化學工業股份有限公司,3,2026-02-01,-16.78
1308.TW,亞洲聚合股份有限公司,3,2026-02-01,-29.18
1309.TW,台達化學工業股份有限公司,3,2026-02-01,-43.0
1310.TW,台灣苯乙烯工業股份有限公司,3,2026-02-01,-13.34
1312.TW,國喬石油化學股份有限公司,3,2026-02-01,15.72
1313.TW,聯成化學科技股份有限公司,3,2026-02-01,-40.15
1314.TW,中國石油化學工業開發(股)公司,3,2026-02-01,-46.05
1315.TW,達新工業股份有限公司,3,2026-02-01,-21.76
1316.TW,上曜建設開發股份有限公司,14,2026-02-01,108.62
1319.TW,東陽實業廠股份有限公司,12,2026-02-01,-42.81
1321.TW,大洋塑膠工業股份有限公司,3,2026-02-01,-36.34
1323.TW,永裕塑膠工業股份有限公司,3,2026-02-01,4.41
1324.TW,地球綜合工業股份有限公司,3,2026-02-01,-40.68
1325.TW,恒大股份有限公司,3,2026-02-01,-36.01
1326.TW,台灣化學纖維股份有限公司,3,2026-02-01,-15.33
1337.TW,亞洲塑膠再生資源控股有限公司,3,2026-02-01,-40.72
1338.TW,廣華控股有限公司,12,2026-02-01,-26.62
1339.TW,昭輝實業股份有限公司,12,2026-02-01,-29.24
1340.TW,勝悅新材料有限公司,3,2026-02-01,-68.52
1341.TW,富林塑膠工業(開曼)控股(股)公司,3,2026-02-01,-33.94
1342.TW,八貫企業股份有限公司,20,2026-02-01,1.07
1402.TW,遠東新世紀股份有限公司,4,2026-02-01,-8.92
1409.TW,新光合成纖維股份有限公司,4,2026-02-01,-18.38
1410.TW,南洋染整股份有限公司,4,2026-02-01,-34.55
1413.TW,宏洲纖維工業股份有限公司,4,2026-02-01,-40.75
1414.TW,東和紡織股份有限公司,4,2026-02-01,-20.17
1416.TW,廣豐實業股份有限公司,20,2026-02-01,18.63
1417.TW,嘉裕股份有限公司,4,2026-02-01,41.84
1418.TW,東華龍股份有限公司,4,2026-02-01,-98.63
1419.TW,新光紡織股份有限公司,4,2026-02-01,14.87
1423.TW,利華羊毛工業股份有限公司,4,2026-02-01,57.17
1432.TW,大魯閣實業股份有限公司,37,2026-02-01,-33.22
1434.TW,福懋興業股份有限公司,4,2026-02-01,-27.07
1435.TW,中福國際(股)公司,20,2026-02-01,0.0
1436.TW,華友聯開發股份有限公司,14,2026-02-01,-83.13
1437.TW,勤益投資控股股份有限公司,20,2026-02-01,-20.17
1439.TW,雋揚國際股份有限公司,14,2026-02-01,3.14
1440.TW,臺南紡織股份有限公司,4,2026-02-01,-38.99
1441.TW,大東紡織股份有限公司,4,2026-02-01,-47.41
1442.TW,名軒開發股份有限公司,14,2026-02-01,-83.46
1443.TW,立益物流開發股份有限公司,20,2026-02-01,-8.02
1444.TW,力麗企業股份有限公司,4,2026-02-01,14.0
1445.TW,大宇紡織股份有限公司,4,2026-02-01,-10.8
1446.TW,宏和精密紡織股份有限公司,4,2026-02-01,601.56
1447.TW,力鵬企業股份有限公司,4,2026-02-01,0.49
1449.TW,佳和實業股份有限公司,4,2026-02-01,22.2
1451.TW,年興紡織股份有限公司,4,2026-02-01,4.75
1452.TW,宏益纖維工業股份有限公司,4,2026-02-01,-42.09
1453.TW,大將開發股份有限公司,14,2026-02-01,0.81
1454.TW,台灣富綢纖維股份有限公司,4,2026-02-01,-45.37
1455.TW,集盛實業股份有限公司,4,2026-02-01,-50.38
1456.TW,怡華實業股份有限公司,14,2026-02-01,72.48
1457.TW,宜進實業股份有限公司,4,2026-02-01,-38.52
1459.TW,聯發紡織纖維股份有限公司,4,2026-02-01,-60.63
