Ticker SYMBOL,公司代號,公司名稱,產業別,資料季度,錯誤原因
1101.TW,1101,臺灣水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1102.TW,1102,亞洲水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1103.TW,1103,嘉新水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1104.TW,1104,環球水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1108.TW,1108,幸福水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1109.TW,1109,信大水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1110.TW,1110,東南水泥股份有限公司,01,2026Q1,缺少營業收入/收益
1201.TW,1201,味全食品工業股份有限公司,02,2026Q1,缺少營業收入/收益
1203.TW,1203,味王股份有限公司,02,2026Q1,缺少營業收入/收益
1210.TW,1210,大成長城企業股份有限公司,02,2026Q1,缺少營業收入/收益
1213.TW,1213,大西洋飲料股份有限公司,02,2026Q1,缺少營業收入/收益
1215.TW,1215,台灣卜蜂企業股份有限公司,02,2026Q1,缺少營業收入/收益
1216.TW,1216,統一企業股份有限公司,02,2026Q1,缺少營業收入/收益
1217.TW,1217,愛之味股份有限公司,02,2026Q1,缺少營業收入/收益
1218.TW,1218,泰山企業股份有限公司,02,2026Q1,缺少營業收入/收益
1219.TW,1219,福壽實業股份有限公司,02,2026Q1,缺少營業收入/收益
1220.TW,1220,台榮產業股份有限公司,02,2026Q1,缺少營業收入/收益
1225.TW,1225,福懋油脂股份有限公司,02,2026Q1,缺少營業收入/收益
1227.TW,1227,佳格食品股份有限公司,02,2026Q1,缺少營業收入/收益
1229.TW,1229,聯華實業控股股份有限公司,02,2026Q1,缺少營業收入/收益
1231.TW,1231,聯華食品工業股份有限公司,02,2026Q1,缺少營業收入/收益
1232.TW,1232,大統益股份有限公司,02,2026Q1,缺少營業收入/收益
1233.TW,1233,天仁茶業股份有限公司,02,2026Q1,缺少營業收入/收益
1234.TW,1234,黑松股份有限公司,02,2026Q1,缺少營業收入/收益
1235.TW,1235,興泰實業股份有限公司,02,2026Q1,缺少營業收入/收益
1236.TW,1236,宏亞食品股份有限公司,02,2026Q1,缺少營業收入/收益
1256.TW,1256,鮮活控股股份有限公司,02,2026Q1,缺少營業收入/收益
1301.TW,1301,台灣塑膠工業股份有限公司,03,2026Q1,缺少營業收入/收益
1303.TW,1303,南亞塑膠工業股份有限公司,03,2026Q1,缺少營業收入/收益
1304.TW,1304,台灣聚合化學品股份有限公司,03,2026Q1,缺少營業收入/收益
1305.TW,1305,華夏海灣塑膠股份有限公司,03,2026Q1,缺少營業收入/收益
1307.TW,1307,三芳化學工業股份有限公司,03,2026Q1,缺少營業收入/收益
1308.TW,1308,亞洲聚合股份有限公司,03,2026Q1,缺少營業收入/收益
1309.TW,1309,台達化學工業股份有限公司,03,2026Q1,缺少營業收入/收益
1310.TW,1310,台灣苯乙烯工業股份有限公司,03,2026Q1,缺少營業收入/收益
1312.TW,1312,國喬石油化學股份有限公司,03,2026Q1,缺少營業收入/收益
1313.TW,1313,聯成化學科技股份有限公司,03,2026Q1,缺少營業收入/收益
1314.TW,1314,中國石油化學工業開發(股)公司,03,2026Q1,缺少營業收入/收益
1315.TW,1315,達新工業股份有限公司,03,2026Q1,缺少營業收入/收益
1316.TW,1316,上曜建設開發股份有限公司,14,2026Q1,缺少營業收入/收益
1319.TW,1319,東陽實業廠股份有限公司,12,2026Q1,缺少營業收入/收益
1321.TW,1321,大洋塑膠工業股份有限公司,03,2026Q1,缺少營業收入/收益
1323.TW,1323,永裕塑膠工業股份有限公司,03,2026Q1,缺少營業收入/收益
1324.TW,1324,地球綜合工業股份有限公司,03,2026Q1,缺少營業收入/收益
1325.TW,1325,恒大股份有限公司,03,2026Q1,缺少營業收入/收益
1326.TW,1326,台灣化學纖維股份有限公司,03,2026Q1,缺少營業收入/收益
1337.TW,1337,亞洲塑膠再生資源控股有限公司,03,2026Q1,缺少營業收入/收益
1338.TW,1338,廣華控股有限公司,12,2026Q1,缺少營業收入/收益
1339.TW,1339,昭輝實業股份有限公司,12,2026Q1,缺少營業收入/收益
1340.TW,1340,勝悅新材料有限公司,03,2026Q1,缺少營業收入/收益
1341.TW,1341,富林塑膠工業(開曼)控股(股)公司,03,2026Q1,缺少營業收入/收益
1342.TW,1342,八貫企業股份有限公司,20,2026Q1,缺少營業收入/收益
1402.TW,1402,遠東新世紀股份有限公司,04,2026Q1,缺少營業收入/收益
1409.TW,1409,新光合成纖維股份有限公司,04,2026Q1,缺少營業收入/收益
1410.TW,1410,南洋染整股份有限公司,04,2026Q1,缺少營業收入/收益
1413.TW,1413,宏洲纖維工業股份有限公司,04,2026Q1,缺少營業收入/收益
1414.TW,1414,東和紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1416.TW,1416,廣豐實業股份有限公司,20,2026Q1,缺少營業收入/收益
1417.TW,1417,嘉裕股份有限公司,04,2026Q1,缺少營業收入/收益
1418.TW,1418,東華龍股份有限公司,04,2026Q1,缺少營業收入/收益
1419.TW,1419,新光紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1423.TW,1423,利華羊毛工業股份有限公司,04,2026Q1,缺少營業收入/收益
1432.TW,1432,大魯閣實業股份有限公司,37,2026Q1,缺少營業收入/收益
1434.TW,1434,福懋興業股份有限公司,04,2026Q1,缺少營業收入/收益
1435.TW,1435,中福國際(股)公司,20,2026Q1,缺少營業收入/收益
1436.TW,1436,華友聯開發股份有限公司,14,2026Q1,缺少營業收入/收益
1437.TW,1437,勤益投資控股股份有限公司,20,2026Q1,缺少營業收入/收益
1438.TW,1438,三地開發地產股份有限公司,14,2026Q1,缺少營業收入/收益
1439.TW,1439,雋揚國際股份有限公司,14,2026Q1,缺少營業收入/收益
1440.TW,1440,臺南紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1441.TW,1441,大東紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1442.TW,1442,名軒開發股份有限公司,14,2026Q1,缺少營業收入/收益
1443.TW,1443,立益物流開發股份有限公司,20,2026Q1,缺少營業收入/收益
1444.TW,1444,力麗企業股份有限公司,04,2026Q1,缺少營業收入/收益
1445.TW,1445,大宇紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1446.TW,1446,宏和精密紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1447.TW,1447,力鵬企業股份有限公司,04,2026Q1,缺少營業收入/收益
1449.TW,1449,佳和實業股份有限公司,04,2026Q1,缺少營業收入/收益
1451.TW,1451,年興紡織股份有限公司,04,2026Q1,缺少營業收入/收益
1452.TW,1452,宏益纖維工業股份有限公司,04,2026Q1,缺少營業收入/收益
1453.TW,1453,大將開發股份有限公司,14,2026Q1,缺少營業收入/收益
1454.TW,1454,台灣富綢纖維股份有限公司,04,2026Q1,缺少營業收入/收益
1455.TW,1455,集盛實業股份有限公司,04,2026Q1,缺少營業收入/收益
1456.TW,1456,怡華實業股份有限公司,14,2026Q1,缺少營業收入/收益
1457.TW,1457,宜進實業股份有限公司,04,2026Q1,缺少營業收入/收益
1459.TW,1459,聯發紡織纖維股份有限公司,04,2026Q1,缺少營業收入/收益
1460.TW,1460,宏遠興業股份有限公司,04,2026Q1,缺少營業收入/收益
1463.TW,1463,強盛新投資控股股份有限公司,04,2026Q1,缺少營業收入/收益
1464.TW,1464,得力實業股份有限公司,04,2026Q1,缺少營業收入/收益
1465.TW,1465,偉全實業股份有限公司,04,2026Q1,缺少營業收入/收益
1466.TW,1466,聚隆纖維股份有限公司,04,2026Q1,缺少營業收入/收益
1467.TW,1467,南緯實業股份有限公司,04,2026Q1,缺少營業收入/收益
1468.TW,1468,昶和纖維興業股份有限公司,04,2026Q1,缺少營業收入/收益
1470.TW,1470,大統新創股份有限公司,04,2026Q1,缺少營業收入/收益
1471.TW,1471,首利實業股份有限公司,28,2026Q1,缺少營業收入/收益
1472.TW,1472,三洋實業股份有限公司,14,2026Q1,缺少營業收入/收益
1473.TW,1473,台南企業股份有限公司,04,2026Q1,缺少營業收入/收益
1474.TW,1474,弘裕企業股份有限公司,04,2026Q1,缺少營業收入/收益
1475.TW,1475,台灣業旺股份有限公司,04,2026Q1,缺少營業收入/收益
1476.TW,1476,儒鴻企業股份有限公司,04,2026Q1,缺少營業收入/收益
1477.TW,1477,聚陽實業股份有限公司,04,2026Q1,缺少營業收入/收益
1503.TW,1503,士林電機廠股份有限公司,05,2026Q1,缺少營業收入/收益
1504.TW,1504,東元電機股份有限公司,05,2026Q1,缺少營業收入/收益
1506.TW,1506,正道工業股份有限公司,05,2026Q1,缺少營業收入/收益
1512.TW,1512,瑞利企業股份有限公司,12,2026Q1,缺少營業收入/收益
1513.TW,1513,中興電工機械股份有限公司,05,2026Q1,缺少營業收入/收益
1514.TW,1514,亞力電機股份有限公司,05,2026Q1,缺少營業收入/收益
1515.TW,1515,力山工業股份有限公司,05,2026Q1,缺少營業收入/收益
1516.TW,1516,川飛能源股份有限公司,20,2026Q1,缺少營業收入/收益
1517.TW,1517,利奇機械工業股份有限公司,05,2026Q1,缺少營業收入/收益
1519.TW,1519,華城電機股份有限公司,05,2026Q1,缺少營業收入/收益
1521.TW,1521,大億交通工業製造股份有限公司,12,2026Q1,缺少營業收入/收益
1522.TW,1522,堤維西交通工業股份有限公司,12,2026Q1,缺少營業收入/收益
1524.TW,1524,耿鼎企業股份有限公司,12,2026Q1,缺少營業收入/收益
1525.TW,1525,江申工業股份有限公司,12,2026Q1,缺少營業收入/收益
1526.TW,1526,日馳企業股份有限公司,05,2026Q1,缺少營業收入/收益
1527.TW,1527,鑽全實業股份有限公司,05,2026Q1,缺少營業收入/收益
1528.TW,1528,恩德科技股份有限公司,05,2026Q1,缺少營業收入/收益
1529.TW,1529,樂事綠能科技股份有限公司,05,2026Q1,缺少營業收入/收益
1530.TW,1530,亞崴機電股份有限公司,05,2026Q1,缺少營業收入/收益
1531.TW,1531,高林股份有限公司,05,2026Q1,缺少營業收入/收益
1532.TW,1532,勤美股份有限公司,05,2026Q1,缺少營業收入/收益
1533.TW,1533,車王電子股份有限公司,12,2026Q1,缺少營業收入/收益
1535.TW,1535,中宇環保工程股份有限公司,05,2026Q1,缺少營業收入/收益
1536.TW,1536,和大工業股份有限公司,12,2026Q1,缺少營業收入/收益
1537.TW,1537,廣隆光電科技股份有限公司,05,2026Q1,缺少營業收入/收益
1538.TW,1538,正峰工業股份有限公司,05,2026Q1,缺少營業收入/收益
1539.TW,1539,巨庭機械股份有限公司,05,2026Q1,缺少營業收入/收益
1540.TW,1540,喬福機械工業股份有限公司,05,2026Q1,缺少營業收入/收益
1541.TW,1541,錩泰工業股份有限公司,05,2026Q1,缺少營業收入/收益
1558.TW,1558,伸興工業股份有限公司,05,2026Q1,缺少營業收入/收益
1560.TW,1560,中國砂輪企業股份有限公司,05,2026Q1,缺少營業收入/收益
1563.TW,1563,巧新科技工業股份有限公司,12,2026Q1,缺少營業收入/收益
1568.TW,1568,倉佑實業股份有限公司,12,2026Q1,缺少營業收入/收益
1582.TW,1582,信錦企業股份有限公司,28,2026Q1,缺少營業收入/收益
1583.TW,1583,程泰機械股份有限公司,05,2026Q1,缺少營業收入/收益
1587.TW,1587,吉茂精密股份有限公司,12,2026Q1,缺少營業收入/收益
1589.TW,1589,永冠能源科技集團有限公司,05,2026Q1,缺少營業收入/收益
1590.TW,1590,亞德客國際集團,05,2026Q1,缺少營業收入/收益
1597.TW,1597,直得科技股份有限公司,05,2026Q1,缺少營業收入/收益
1598.TW,1598,岱宇國際股份有限公司,37,2026Q1,缺少營業收入/收益
1603.TW,1603,中華電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1604.TW,1604,聲寶股份有限公司,06,2026Q1,缺少營業收入/收益
1605.TW,1605,華新麗華股份有限公司,06,2026Q1,缺少營業收入/收益
1608.TW,1608,華榮電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1609.TW,1609,大亞電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1611.TW,1611,中國電器股份有限公司,06,2026Q1,缺少營業收入/收益
1612.TW,1612,宏泰電工股份有限公司,06,2026Q1,缺少營業收入/收益
1614.TW,1614,台灣三洋電機股份有限公司,06,2026Q1,缺少營業收入/收益
1615.TW,1615,大山電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1616.TW,1616,億泰電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1617.TW,1617,榮星電線工業股份有限公司,06,2026Q1,缺少營業收入/收益
1618.TW,1618,合機電線電纜股份有限公司,06,2026Q1,缺少營業收入/收益
1623.TW,1623,大東電業廠股份有限公司,06,2026Q1,缺少營業收入/收益
1626.TW,1626,艾美特(開曼)國際有限公司,06,2026Q1,缺少營業收入/收益
1702.TW,1702,南僑投資控股股份有限公司,02,2026Q1,缺少營業收入/收益
1707.TW,1707,葡萄王生技股份有限公司,22,2026Q1,缺少營業收入/收益
1708.TW,1708,東南實業股份有限公司,21,2026Q1,缺少營業收入/收益
1709.TW,1709,和益化學工業股份有限公司,21,2026Q1,缺少營業收入/收益
1710.TW,1710,東聯化學股份有限公司,21,2026Q1,缺少營業收入/收益
1711.TW,1711,臺灣永光化學工業股份有限公司,21,2026Q1,缺少營業收入/收益
1712.TW,1712,興農股份有限公司,21,2026Q1,缺少營業收入/收益
1713.TW,1713,國泰化工廠股份有限公司,21,2026Q1,缺少營業收入/收益
1714.TW,1714,和桐化學股份有限公司,21,2026Q1,缺少營業收入/收益
1717.TW,1717,長興材料工業股份有限公司,21,2026Q1,缺少營業收入/收益
1718.TW,1718,中國人造纖維股份有限公司,21,2026Q1,缺少營業收入/收益
1720.TW,1720,生達化學製藥股份有限公司,22,2026Q1,缺少營業收入/收益
1721.TW,1721,三晃股份有限公司,21,2026Q1,缺少營業收入/收益
1722.TW,1722,台灣肥料股份有限公司,21,2026Q1,缺少營業收入/收益
1723.TW,1723,中鋼碳素化學股份有限公司,21,2026Q1,缺少營業收入/收益
1725.TW,1725,元禎企業股份有限公司,21,2026Q1,缺少營業收入/收益
1726.TW,1726,永記造漆工業股份有限公司,21,2026Q1,缺少營業收入/收益
1727.TW,1727,臺灣中華化學工業股份有限公司,21,2026Q1,缺少營業收入/收益
1730.TW,1730,花仙子企業股份有限公司,21,2026Q1,缺少營業收入/收益
1731.TW,1731,美吾華股份有限公司,22,2026Q1,缺少營業收入/收益
1732.TW,1732,毛寶股份有限公司,21,2026Q1,缺少營業收入/收益
1733.TW,1733,五鼎生物技術股份有限公司,22,2026Q1,缺少營業收入/收益
1734.TW,1734,杏輝藥品工業股份有限公司,22,2026Q1,缺少營業收入/收益
1735.TW,1735,日勝化工股份有限公司,21,2026Q1,缺少營業收入/收益
1736.TW,1736,喬山健康科技股份有限公司,37,2026Q1,缺少營業收入/收益
1737.TW,1737,臺鹽實業股份有限公司,02,2026Q1,缺少營業收入/收益
1752.TW,1752,南光化學製藥股份有限公司,22,2026Q1,缺少營業收入/收益
1760.TW,1760,寶齡富錦生技股份有限公司,22,2026Q1,缺少營業收入/收益
