Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
1101.TW,2025-12-31,,18.49,3.76,,-0.81,-5.88,50.29,-63.83,422.0,0.0,0.11254444444444443,0.29710000000000003,1.0,0.26366555555555554,fundamentals_clean
1102.TW,2025-12-31,,14.02,9.11,,0.96,10.87,37.22,65.35,624.0,0.0,0.27708611111111114,0.8057166666666666,1.0,0.4484093055555556,fundamentals_clean
1103.TW,2025-12-31,,16.23,-5.49,,0.41,10.04,42.6,-60.39,402.0,0.0,0.18788888888888888,0.374,1.0,0.3092611111111111,fundamentals_clean
1104.TW,2025-12-31,,29.12,19.06,,2.08,24.31,19.64,66.84,579.0,0.0,0.5746,0.8903333333333334,1.0,0.5736933333333334,fundamentals_clean
1108.TW,2025-12-31,,13.76,7.25,,1.12,6.31,43.36,113.03,507.0,0.0,0.20004166666666667,0.8664000000000001,1.0,0.43661458333333336,fundamentals_clean
1109.TW,2025-12-31,,14.62,8.27,,0.77,7.09,10.13,85.22,590.0,0.0,0.2247694444444444,1.0,1.0,0.47866930555555554,fundamentals_clean
1110.TW,2025-12-31,,15.28,7.32,,0.43,5.86,26.16,118.38,208.0,0.0,0.2035611111111111,1.0,1.0,0.4712463888888889,fundamentals_clean
1201.TW,2025-12-31,,26.76,-0.09,,-0.17,-0.25,56.46,22.35,373.0,0.0,0.12088888888888889,0.25498333333333334,1.0,0.25605694444444443,fundamentals_clean
1203.TW,2025-12-31,,33.56,14.15,,1.72,9.68,29.2,83.27,305.0,0.0,0.4211666666666667,1.0,1.0,0.5474083333333334,fundamentals_clean
1210.TW,2025-12-31,,15.43,4.84,,3.91,5.3,53.42,63.81,517.0,0.0,0.17259444444444444,0.6308833333333334,1.0,0.36812888888888884,fundamentals_clean
1213.TW,2025-12-31,,-3.68,-19.69,,-1.77,-16.34,16.63,102.58,380.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1215.TW,2025-12-31,,20.24,12.05,,5.61,9.55,59.56,101.64,504.0,0.0,0.33216666666666667,0.7043999999999999,1.0,0.4423583333333333,fundamentals_clean
1216.TW,2025-12-31,,31.73,2.59,,1.41,1.88,71.43,71.66,414.0,0.0,0.1979,0.5162,1.0,0.348315,fundamentals_clean
1217.TW,2025-12-31,,27.73,-3.39,,0.63,5.4,44.93,-66.35,243.0,0.0,0.19377777777777777,0.3507,1.0,0.3054972222222222,fundamentals_clean
1218.TW,2025-09-30,,18.81,4.11,0.41,1.56,7.07,12.56,51.43,694.0,0.0,0.20619722222222223,0.7619166666666667,1.0,0.41264819444444445,fundamentals_clean
1219.TW,2025-12-31,,10.03,1.5,,1.51,1.84,52.34,100.41,360.0,0.0,0.06594444444444444,0.7766,1.0,0.3672305555555555,fundamentals_clean
1220.TW,2025-12-31,,8.16,-0.69,,-0.35,-0.97,27.44,-5479.49,560.0,0.0,0.017555555555555557,0.5,1.0,0.2811444444444444,fundamentals_clean
1225.TW,2025-12-31,,10.16,5.38,,2.75,3.98,45.9,92.48,44.0,0.0,0.13221666666666665,0.841,1.0,0.40652583333333336,fundamentals_clean
1227.TW,2025-12-31,,23.19,4.11,,1.9,4.76,31.89,66.98,455.0,0.0,0.20165555555555556,0.8726,1.0,0.4387294444444445,fundamentals_clean
1229.TW,2025-12-31,,21.12,11.17,,1.29,26.54,18.49,35.63,289.0,0.0,0.4512555555555555,0.63025,1.0,0.46550194444444437,fundamentals_clean
1231.TW,2025-12-31,,22.15,12.29,,6.47,13.9,51.45,74.72,172.0,0.0,0.4103027777777778,0.7415,1.0,0.47898097222222225,fundamentals_clean
1232.TW,2025-12-31,,14.23,8.62,,6.32,6.82,38.63,97.55,470.0,0.0,0.23922777777777782,0.9137,1.0,0.4621547222222222,fundamentals_clean
1233.TW,2025-12-31,,60.25,3.04,,1.33,3.22,38.32,64.07,335.0,0.0,0.32065,0.7840499999999999,1.0,0.45824,fundamentals_clean
1234.TW,2025-12-31,,29.58,5.42,,0.92,7.84,21.22,54.65,461.0,0.0,0.28875555555555554,0.7887500000000001,1.0,0.4482519444444445,fundamentals_clean
1235.TW,2025-12-31,,27.19,-2.83,,-2.37,-133.51,43.16,2.32,133.0,0.0,0.12327777777777779,0.36840000000000006,1.0,0.2852472222222222,fundamentals_clean
1236.TW,2025-12-31,,24.77,-4.59,,-0.68,-3.96,28.63,115.09,231.0,0.0,0.10983333333333332,1.0,1.0,0.4384416666666666,fundamentals_clean
1256.TW,2025-12-31,,24.61,7.42,,1.69,7.62,19.23,77.86,318.0,0.0,0.27839444444444444,0.9821666666666666,1.0,0.4929797222222222,fundamentals_clean
1301.TW,2025-12-31,,2.38,-5.63,,-0.79,-6.99,34.85,80.25,109.0,0.0,0.0,0.9515,1.0,0.38787499999999997,fundamentals_clean
1303.TW,2025-12-31,,9.25,2.02,,1.32,7.64,39.11,22.3,91.0,0.0,0.1393111111111111,0.42806666666666665,1.0,0.3057755555555556,fundamentals_clean
1304.TW,2025-12-31,,5.34,-4.3,,-2.28,-8.14,43.95,21.32,112.0,0.0,0.001888888888888888,0.37149999999999994,1.0,0.2435361111111111,fundamentals_clean
1305.TW,2025-12-31,,0.65,-10.28,,-1.72,-7.72,52.73,120.23,84.0,0.0,0.0,0.7727,1.0,0.343175,fundamentals_clean
1307.TW,2025-12-31,,31.96,13.75,,3.31,13.01,42.15,80.73,857.0,0.0,0.44990277777777776,0.8785000000000001,1.0,0.5270909722222222,fundamentals_clean
1308.TW,2025-12-31,,6.52,2.26,,-3.5,-25.56,12.56,-9.03,134.0,0.0,0.03104444444444444,0.5,1.0,0.28586555555555554,fundamentals_clean
1309.TW,2025-12-31,,3.28,-4.03,,-0.98,-1.88,32.85,173.33,77.0,0.0,0.0,0.9715,1.0,0.392875,fundamentals_clean
1310.TW,2025-12-31,,-7.37,-10.26,,-3.03,-13.31,24.43,77.28,,0.0,0.0,0.9773333333333334,0.0,0.24433333333333335,fundamentals_clean
1312.TW,2025-12-31,,-5.49,-15.47,,-3.79,-18.03,51.62,76.05,,0.0,0.0,0.7508833333333333,0.0,0.18772083333333334,fundamentals_clean
1313.TW,2025-12-31,,1.59,-3.5,,-2.75,-5.53,45.0,94.41,119.0,0.0,0.0,0.85,1.0,0.3625,fundamentals_clean
1314.TW,2025-12-31,,-21.79,-33.61,,-0.17,-3.77,40.99,-811.82,,0.0,0.0,0.3901,0.0,0.097525,fundamentals_clean
1315.TW,2025-12-31,,19.55,4.56,,0.53,10.03,6.05,27.77,714.0,0.0,0.2518083333333333,0.56475,1.0,0.3793204166666666,fundamentals_clean
1316.TW,2025-12-31,,30.65,0.38,,0.46,3.88,45.72,1.86,,0.0,0.19479999999999997,0.3428,0.0,0.15388,fundamentals_clean
1319.TW,2025-12-31,,33.68,18.11,,4.27,18.81,25.67,77.06,662.0,0.0,0.5755583333333333,0.9755,1.0,0.5953204166666667,fundamentals_clean
1321.TW,2025-12-31,,6.96,-7.58,,-1.99,-13.28,49.99,87.05,113.0,0.0,0.010888888888888889,0.8001,1.0,0.35383611111111113,fundamentals_clean
1323.TW,2025-12-31,,15.09,2.14,,0.71,3.74,45.39,52.58,386.0,0.0,0.12420555555555556,0.6175999999999999,1.0,0.3478719444444444,fundamentals_clean
1324.TW,2025-12-31,,11.27,-7.91,,-1.28,-6.27,17.53,137.34,172.0,0.0,0.034833333333333334,1.0,1.0,0.4121916666666666,fundamentals_clean
1325.TW,2025-12-31,,-27.77,-41.36,,-0.17,-7.18,3.45,444.68,108.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1326.TW,2025-12-31,,4.05,-1.33,,-0.08,-0.45,29.29,-541.78,111.0,0.0,0.0,0.5,1.0,0.275,fundamentals_clean
1337.TW,2025-12-31,,-19.71,-65.5,,-3.67,-83.34,42.09,78.6,,0.0,0.0,0.8674333333333333,0.0,0.21685833333333332,fundamentals_clean
1338.TW,2025-12-31,,22.76,-2.77,,-0.31,-1.41,54.51,453.98,476.0,0.0,0.09866666666666668,0.7549,1.0,0.37325833333333336,fundamentals_clean
1339.TW,2025-12-31,,33.66,12.79,,2.33,25.72,17.96,41.41,743.0,0.0,0.5371222222222222,0.6784166666666667,1.0,0.5075969444444445,fundamentals_clean
1340.TW,2025-12-31,,-118.96,-391.42,,-9.71,-2622.5,11.35,15.05,,0.0,0.0,0.5,0.0,0.125,fundamentals_clean
1341.TW,2025-12-31,,23.43,13.64,,5.67,10.63,42.34,100.46,895.0,0.0,0.3800388888888889,0.8765999999999999,1.0,0.5021636111111111,fundamentals_clean
1342.TW,2025-12-31,,26.13,18.39,,5.27,16.59,33.08,86.64,718.0,0.0,0.5120388888888889,0.9692000000000001,1.0,0.5715136111111111,fundamentals_clean
1402.TW,2025-12-31,,19.15,6.78,,0.76,3.5,53.04,85.37,600.0,0.0,0.19016111111111111,0.7696000000000001,1.0,0.40895638888888886,fundamentals_clean
1409.TW,2025-12-31,,26.17,11.62,,0.68,4.17,76.56,130.36,390.0,0.0,0.2859361111111111,0.5344,1.0,0.38367763888888884,fundamentals_clean
1410.TW,2025-12-31,,31.89,4.46,,0.97,22.82,16.74,18.39,164.0,0.0,0.4439888888888889,0.5,1.0,0.4303961111111111,fundamentals_clean
1413.TW,2025-12-31,,2.52,0.23,,0.32,0.78,58.46,12.64,,0.0,0.01205,0.21539999999999998,0.0,0.058067499999999994,fundamentals_clean
1414.TW,2025-12-31,,15.75,-3.55,,0.56,14.88,30.58,-21.14,120.0,0.0,0.24572222222222223,0.49420000000000003,1.0,0.3595527777777778,fundamentals_clean
1416.TW,2025-12-31,,43.12,8.8,,0.7,27.88,26.97,26.07,491.0,0.0,0.5497777777777777,0.5505833333333333,1.0,0.48006805555555554,fundamentals_clean
1417.TW,2025-12-31,,55.07,16.97,,3.56,50.12,16.67,28.77,,0.0,0.6697,0.5730833333333334,0.0,0.3776658333333333,fundamentals_clean
1418.TW,2025-12-31,,208.69,-991.43,,4.18,2984.48,77.99,-16.89,,0.0,0.5,0.020100000000000062,0.0,0.180025,fundamentals_clean
1419.TW,2025-12-31,,27.15,10.89,,1.26,14.91,30.4,62.3,248.0,0.0,0.41833055555555554,0.8485,1.0,0.5085406944444445,fundamentals_clean
1423.TW,2025-12-31,,-15.75,-64.99,,0.8,162.03,6.3,-29.02,201.0,0.0,0.25,0.5,1.0,0.3625,fundamentals_clean
1432.TW,2025-12-31,,34.83,-28.7,,37.41,221.53,57.65,-12.43,,0.0,0.6657222222222222,0.22350000000000003,0.0,0.2888777777777778,fundamentals_clean
1434.TW,2025-12-31,,10.73,1.39,,0.9,6.24,25.9,19.44,485.0,0.0,0.12373333333333333,0.5,1.0,0.3183066666666666,fundamentals_clean
1435.TW,2025-12-31,,64.71,-1427.47,,-2.21,-1466.51,15.63,97.34,,0.0,0.25,1.0,0.0,0.3375,fundamentals_clean
1436.TW,2025-12-31,,52.84,-23.97,,-1.2,-41.85,67.98,48.8,1407.0,0.0,0.25,0.36019999999999996,1.0,0.32755,fundamentals_clean
1437.TW,2025-12-31,,46.59,37.58,,1.99,70.55,39.64,48.74,599.0,0.0,0.7310555555555556,0.6431,1.0,0.5666444444444444,fundamentals_clean
1438.TW,2025-12-31,,29.82,25.89,,9.35,23.71,78.24,114.74,,0.0,0.6922638888888889,0.5176000000000001,0.0,0.37169236111111115,fundamentals_clean
1439.TW,2025-09-30,,25.22,16.25,0.87,2.43,28.37,43.58,56.47,109.0,0.0,0.5248333333333333,0.6681166666666667,1.0,0.5007208333333333,fundamentals_clean
1440.TW,2025-12-31,,7.45,-4.9,,-0.65,-5.55,38.92,1095.86,236.0,0.0,0.013611111111111112,0.9108,1.0,0.38246388888888894,fundamentals_clean
1441.TW,2025-12-31,,-0.79,-10.91,,-2.74,-3.37,66.82,90.59,,0.0,0.0,0.6318000000000001,0.0,0.15795000000000003,fundamentals_clean
1442.TW,2025-12-31,,49.04,34.02,,2.45,30.84,44.01,95.77,1721.0,0.0,0.7446666666666667,0.8599,1.0,0.6256083333333333,fundamentals_clean
1443.TW,2025-12-31,,47.79,33.35,,4.42,35.91,76.55,69.54,,0.0,0.7377222222222222,0.4473333333333334,0.0,0.37003611111111107,fundamentals_clean
1444.TW,2025-12-31,,4.59,-3.0,,-0.9,-5.46,44.5,50.14,,0.0,0.0,0.6061666666666666,0.0,0.15154166666666666,fundamentals_clean
1445.TW,2025-12-31,,6.55,-24.79,,-1.86,-20.65,52.5,184.98,403.0,0.0,0.00861111111111111,0.775,1.0,0.34676388888888887,fundamentals_clean
1446.TW,2025-12-31,,0.46,-91.72,,-2.09,-182.1,13.08,177.74,1220.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1447.TW,2025-12-31,,1.59,-0.55,,-3.84,-4.74,48.06,12.26,,0.0,0.0,0.3194,0.0,0.07985,fundamentals_clean
