Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
1101.TW,1,1,2026-02,-5.81
1102.TW,1,1,2026-02,-16.52
1103.TW,1,1,2026-02,-13.45
1104.TW,1,1,2026-02,-14.59
1108.TW,1,1,2026-02,-27.24
1109.TW,1,1,2026-02,-29.79
1110.TW,1,1,2026-02,-30.32
1201.TW,2,2,2026-02,7.25
1203.TW,2,2,2026-02,-17.94
1210.TW,2,2,2026-02,-5.68
1213.TW,2,2,2026-02,20.55
1215.TW,2,2,2026-02,-0.03
1216.TW,2,2,2026-02,8.32
1217.TW,2,2,2026-02,1.83
1218.TW,2,2,2026-02,6.49
1219.TW,2,2,2026-02,-8.84
1220.TW,2,2,2026-02,-32.3
1225.TW,2,2,2026-02,-16.79
1227.TW,2,2,2026-02,16.64
1229.TW,2,2,2026-02,-12.87
1231.TW,2,2,2026-02,32.2
1232.TW,2,2,2026-02,1.69
1233.TW,2,2,2026-02,23.66
1234.TW,2,2,2026-02,3.6
1235.TW,2,2,2026-02,807.67
1236.TW,2,2,2026-02,57.78
1256.TW,2,2,2026-02,87.61
1301.TW,3,3,2026-02,-33.42
1303.TW,3,3,2026-02,-15.96
1304.TW,3,3,2026-02,-31.73
1305.TW,3,3,2026-02,-7.66
1307.TW,3,3,2026-02,-16.78
1308.TW,3,3,2026-02,-29.18
1309.TW,3,3,2026-02,-43.0
1310.TW,3,3,2026-02,-13.34
1312.TW,3,3,2026-02,15.72
1313.TW,3,3,2026-02,-40.15
1314.TW,3,3,2026-02,-46.05
1315.TW,3,3,2026-02,-21.76
1316.TW,14,14,2026-02,108.62
1319.TW,12,12,2026-02,-42.81
1321.TW,3,3,2026-02,-36.34
1323.TW,3,3,2026-02,4.41
1324.TW,3,3,2026-02,-40.68
1325.TW,3,3,2026-02,-36.01
1326.TW,3,3,2026-02,-15.33
1337.TW,3,3,2026-02,-40.72
1338.TW,12,12,2026-02,-26.62
1339.TW,12,12,2026-02,-29.24
1340.TW,3,3,2026-02,-68.52
1341.TW,3,3,2026-02,-33.94
1342.TW,20,20,2026-02,1.07
1402.TW,4,4,2026-02,-8.92
1409.TW,4,4,2026-02,-18.38
1410.TW,4,4,2026-02,-34.55
1413.TW,4,4,2026-02,-40.75
1414.TW,4,4,2026-02,-20.17
1416.TW,20,20,2026-02,18.63
1417.TW,4,4,2026-02,41.84
1418.TW,4,4,2026-02,-98.63
1419.TW,4,4,2026-02,14.87
1423.TW,4,4,2026-02,57.17
1432.TW,37,37,2026-02,-33.22
1434.TW,4,4,2026-02,-27.07
1435.TW,20,20,2026-02,0.0
1436.TW,14,14,2026-02,-83.13
